"Bacterial_human_pathogens","state","pathogen_class"
"Campylobacter jejuni jejuni",,2
"Campylobacter lari",,4
"Campylobacter laridis","alias",4
"Campylobacter mucosalis",,4
"Campylobacter pyloridis","alias",4
"Campylobacter rectus",,4
"Campylobacter showae",,4
"Campylobacter sputorum",,4
"Campylobacter upsalensis",,4
"Campylobacter ureolyticus",,4
"Candidatus Helicobacter bovis",,4
"Canibacter oris",,4
"Capnocytophaga canimorsus",,2
"Capnocytophaga cynodegmi",,3
"Capnocytophaga gingivalis",,4
"Capnocytophaga granulosa",,4
"Capnocytophaga haemolytica",,4
"Capnocytophaga leadbetteri",,4
"Capnocytophaga ochracea",,4
"Capnocytophaga sputigena",,4
"Cardiobacterium hominis",,4
"Cardiobacterium valvarum",,4
"Catonella morbi",,4
"Cedecea davisae",,4
"Cedecea lapagei",,4
"Cedecea neteri",,3
"Cellulomonas cellulans","alias",4
"Cellulomonas denverensis",,4
"Cellulomonas hominis",,4
"Cellulomonas turbata","alias",4
"Cellulosimicrobium cellulans",,4
"Cellulosimicrobium funkei",,4
"Centipeda periodontii",,4
"Chlamydia pneumoniae","alias",1
"Chlamydia psittaci","alias",1
"Chlamydia trachomatis",,4
"Chlamydophila abortus",,4
"Chlamydophila pneumoniae",,1
"Chlamydophila psittaci",,1
"Chromobacterium violaceum",,3
"Chryseobacterium anthropi",,4
"Chryseobacterium bernardetii",,4
"Chryseobacterium gleum",,4
"Chryseobacterium hominis",,4
"Chryseobacterium indologenes",,3
"Chryseobacterium nakagawai",,4
"Chryseobacterium treverense",,4
"Chryseobacterium meningosepticum","alias",3
"Chryseomonas luteola","alias",3
"Citrobacter amalonaticus",,3
"Citrobacter braakii",,3
"Citrobacter diversus",,3
"Citrobacter farmeri",,3
"Citrobacter freundii",,3
"Citrobacter gilenii",,3
"Citrobacter koseri",,3
"Citrobacter murliniae",,3
"Citrobacter rodentium",,3
"Citrobacter sedlakii",,3
"Citrobacter werkmanii",,3
"Citrobacter youngae",,3
"Clostridium absonum","alias",4
"Clostridium argentinense",,4
"Clostridium baratii",,4
"Clostridium beijerinckii",,4
"Clostridium bifermentans",,4
"Clostridium bolteae",,4
"Clostridium botulinum",,4
"Clostridium butyricum",,4
"Clostridium cadaveris",,4
"Clostridium carnis",,4
"Clostridium celatum",,4
"Clostridium clostridioforme",,4
"Clostridium cochlearium",,4
"Clostridium cocleatum",,4
"Clostridium difficile",,4
"Clostridium fallax",,4
"Clostridium ghonii",,4
"Clostridium glycolicum","alias",4
"Clostridium haemolyticum",,4
"Clostridium hastiforme","alias",4
"Clostridium histolyticum",,4
"Clostridium indolis",,4
"Clostridium innocuum",,4
"Clostridium irregulare",,4
"Clostridium leptum",,4
"Clostridium limosum",,4
"Clostridium malenominatum",,4
"Clostridium novyi",,4
"Clostridium oroticum",,4
"Clostridium paraputrificum",,4
"Clostridium perfringens",,2
"Clostridium piliforme",,4
"Clostridium putrefaciens",,4
"Clostridium ramosum",,4
"Clostridium sardiniense",,4
"Clostridium septicum",,2
"Clostridium sordellii",,4
"Clostridium sphenoides",,4
"Clostridium sporogenes",,4
"Clostridium subterminale",,4
"Clostridium symbiosum",,4
"Clostridium tertium",,4
"Clostridium tetani",,4
"Collinsella aerofaciens",,4
"Comamonas acidovorans","alias",4
"Comamonas kerstersii",,4
"Comamonas terrigena",,4
"Comamonas testosteroni",,3
"Corynebacterium accolens",,4
"Corynebacterium afermentans",,4
"Corynebacterium amycolatum",,4
"Corynebacterium appendicis",,4
"Corynebacterium aquaticum","alias",3
"Corynebacterium aquatimens",,4
"Corynebacterium argentoratense",,4
"Corynebacterium atypicum",,4
"Corynebacterium aurimucosum",,4
"Corynebacterium auris",,4
"Corynebacterium auriscanis",,4
"Corynebacterium bovis",,4
"Corynebacterium canis",,4
"Corynebacterium confusum",,4
"Corynebacterium coyleae",,4
"Corynebacterium diphtheriae",,3
"Corynebacterium durum",,4
"Corynebacterium equi","alias",2
"Corynebacterium falsenii",,4
"Corynebacterium feiburgense",,3
"Corynebacterium freneyi",,4
"Corynebacterium glucuronolyticum",,4
"Corynebacterium haemolyticum","alias",3
"Corynebacterium imitans",,4
"Corynebacterium jeikeium",,3
"Corynebacterium kroppenstedtii",,4
"Corynebacterium kutscheri",,4
"Corynebacterium lipophiloflavum",,4
"Corynebacterium macginleyi",,4
"Corynebacterium massiliense",,4
"Corynebacterium matruchotii",,4
"Corynebacterium minutissimum",,3
"Corynebacterium mucifaciens",,4
"Corynebacterium mycetoides",,4
"Corynebacterium nigricans","alias",4
"Corynebacterium pilosum",,4
"Corynebacterium pilparense",,4
"Corynebacterium propinquum",,4
"Corynebacterium pseudodiphtheriticum",,4
"Corynebacterium pseudotuberculosis",,4
"Corynebacterium renale",,4
"Corynebacterium resistens",,4
"Corynebacterium riegelii",,4
"Corynebacterium sanguinis",,4
"Corynebacterium singulare",,4
"Corynebacterium sputi",,4
"Corynebacterium striatum",,3
"Corynebacterium sundsvallense",,4
"Corynebacterium thomssenii",,4
"Corynebacterium tuberculostearicum",,4
"Corynebacterium tuscaniense",,4
"Corynebacterium ulcerans",,4
"Corynebacterium urealyticum",,4
"Corynebacterium ureicelerivorans",,4
"Corynebacterium vitaeruminis",,4
"Corynebacterium xerosis",,4
"Coxiella burnetii",,1
"Cryptobacterium curtum",,4
"Cupriavidus gilardii",,4
"Cupriavidus pauculus",,3
"Cupriavidus respiraculi",,4
"Cupriavidus taiwanensis",,4
"D. pigra","alias",4
"Delftia acidovorans",,4
"Dermabacter hominis",,4
"Dermacoccus sp.",,4
"Dermatophilus congolensis",,4
"Desmospora activa",,4
"Desulfomicrobium orale",,4
"Desulfomonas piger",,4
"Desulfovibrio desulfuricans",,4
"Desulfovibrio fairfieldensis",,4
"Desulfovibrio vulgaris",,4
"Dialister invisus",,4
"Dialister micraerophilus",,4
"Dialister pneumosintes",,4
"Dialister propionicifaciens",,4
"Dichelobacter nodosus",,4
"Dietzia aurantiaca",,4
"Dietzia cinnamea",,4
"Dietzia maris",,4
"Dietzia papillomatosis",,4
"Dolosicoccus paucivorans",,4
"Dolosigranulum pigrum",,4
"Dysgonomonas capnocytophagoides",,4
"Dysgonomonas gadei",,4
"Dysgonomonas mossii",,4
"Edwardsiella hoshinae",,3
"Edwardsiella ictaluri",,3
